name	party	state	id
JOÃO CARLOS BACELAR	PL	Bahia	187
JOÃO DANIEL	PT	Sergipe	179
JOÃO MAIA	PL	Rio Grande do Norte	124
JOÃO MARCELO SOUZA	MDB	Maranhão	76
JUAREZ COSTA	MDB	Mato Grosso	401
JULIAN LEMOS	PSL	Paraíba	134
JULIO CESAR RIBEIRO	Republica	Distrito Federal	412
JUNINHO DO PNEU	DEM	Rio de Janeiro	308
JUNIO AMARAL	PSL	Minas Gerais	225
JUNIOR LOURENÇO	PL	Maranhão	80
JUSCELINO FILHO	DEM	Maranhão	79
JÉSSICA SALES	MDB	Acre	56
JÚLIO CESAR	PSD	Piauí	114
JÚLIO DELGADO	PSB	Minas Gerais	250
JÚNIOR FERRARI	PSD	Pará	29
JÚNIOR MANO	PL	Ceará	100
KIM KATAGUIRI	DEM	São Paulo	366
LAERCIO OLIVEIRA	PP	Sergipe	176
LAERTE BESSA	PL	Distrito Federal	580
LAFAYETTE DE ANDRADA	Republica	Minas Gerais	256
LAURIETE	PSC	Espírito Santo	281
LEANDRE	PV	Paraná	453
LEDA SADALA	Avante	Amapá	14
LEO DE BRITO	PT	Acre	564
LEONARDO GADELHA	PSC	Paraíba	578
LEONARDO MONTEIRO	PT	Minas Gerais	253
LEUR LOMANTO JÚNIOR	DEM	Bahia	200
LEÔNIDAS CRISTINO	PDT	Ceará	96
LINCOLN PORTELA	PL	Minas Gerais	243
LIZIANE BAYER	PSB	Rio Grande do Sul	500
LOESTER TRUTIS	PSL	Mato Grosso do Sul	439
LOURIVAL GOMES	PSL	Rio de Janeiro	309
LUCAS GONZALEZ	Novo	Minas Gerais	258
LUCAS REDECKER	PSDB	Rio Grande do Sul	501
LUCAS VERGILIO	Solidarie	Goiás	430
LUCIANO BIVAR	PSL	Pernambuco	150
LUCIANO DUCCI	PSB	Paraná	457
LUCIO MOSQUINI	MDB	Rondonia	46
LUIS MIRANDA	DEM	Distrito Federal	525
LUIS TIBÉ	Avante	Minas Gerais	251
LUISA CANZIANI	PTB	Paraná	454
LUIZ ANTÔNIO CORRÊA	PL	Rio de Janeiro	310
LUIZ CARLOS	PSDB	Amapá	17
LUIZ CARLOS MOTTA	PL	São Paulo	367
LUIZ LIMA	PSL	Rio de Janeiro	311
LUIZ NISHIMORI	PL	Paraná	459
LUIZ PHILIPPE DE ORLEANS E BRAG	PSL	São Paulo	368
LUIZA ERUNDINA	PSOL	São Paulo	371
LUIZIANNE LINS	PT	Ceará	98
LUIZÃO GOULART	Republica	Paraná	463
LÉO MORAES	Podemos	Rondonia	48
LÉO MOTTA	PSL	Minas Gerais	257
LÍDICE DA MATA	PSB	Bahia	185
MAGDA MOFATTO	PL	Goiás	431
MAJOR FABIANA	PSL	Rio de Janeiro	312
MARA ROCHA	PSDB	Acre	57
MARCEL VAN HATTEM	Novo	Rio Grande do Sul	503
MARCELO ARO	PP	Minas Gerais	236
MARCELO BRUM	PSL	Rio Grande do Sul	526
MARCELO FREIXO	PSOL	Rio de Janeiro	315
MARCELO MORAES	PTB	Rio Grande do Sul	506
MARCELO NILO	PSB	Bahia	205
MARCELO RAMOS	PL	Amazonas	42
